tickets_wk1d_r,tickets_ratedgpg_wk1d_r,tickets_adult_wk1d_r,tickets_p33_highbudget_wk1d_r,tickets_p33_lowbudget_wk1d_r,tickets_p33_hr1000_wk1d_r,tickets_p33_lr1000_wk1d_r,tickets_pt_wk1d_r,tickets_pot_wk1d_r,res_own_snow,res_own_rain,res_own_mat5_10,res_own_mat5_15,res_own_mat5_20,res_own_mat5_25,res_own_mat5_30,res_own_mat5_35,res_own_mat5_40,res_own_mat5_45,res_own_mat5_50,res_own_mat5_55,res_own_mat5_60,res_own_mat5_65,res_own_mat5_70,res_own_mat5_75,res_own_mat5_80,res_own_mat5_85,res_own_mat5_90,res_own_mat5_95,res_own_prec_0,res_own_prec_1,res_own_prec_2,res_own_prec_3,res_own_prec_4,res_own_prec_5,res_own_cloud_0,res_own_cloud_1,res_own_cloud_2,res_own_cloud_3,res_own_cloud_4,res_own_cloud_5,res_own_cloud_6,res_own_cloud_7,res_own_cloud_8,res_own_mat_la,res_own_mat_la_cens,res_own_mat10_10,res_own_mat10_20,res_own_mat10_30,res_own_mat10_40,res_own_mat10_50,res_own_mat10_60,res_own_mat10_70,res_own_mat10_80,res_own_mat10_90,res_own_snow_5,res_own_snow_6,res_own_snow_0,res_own_rain_5,res_own_rain_6,res_own_rain_0,res_own_mat5_10_5,res_own_mat5_10_6,res_own_mat5_10_0,res_own_mat5_15_5,res_own_mat5_15_6,res_own_mat5_15_0,res_own_mat5_20_5,res_own_mat5_20_6,res_own_mat5_20_0,res_own_mat5_25_5,res_own_mat5_25_6,res_own_mat5_25_0,res_own_mat5_30_5,res_own_mat5_30_6,res_own_mat5_30_0,res_own_mat5_35_5,res_own_mat5_35_6,res_own_mat5_35_0,res_own_mat5_40_5,res_own_mat5_40_6,res_own_mat5_40_0,res_own_mat5_45_5,res_own_mat5_45_6,res_own_mat5_45_0,res_own_mat5_50_5,res_own_mat5_50_6,res_own_mat5_50_0,res_own_mat5_55_5,res_own_mat5_55_6,res_own_mat5_55_0,res_own_mat5_60_5,res_own_mat5_60_6,res_own_mat5_60_0,res_own_mat5_65_5,res_own_mat5_65_6,res_own_mat5_65_0,res_own_mat5_70_5,res_own_mat5_70_6,res_own_mat5_70_0,res_own_mat5_75_5,res_own_mat5_75_6,res_own_mat5_75_0,res_own_mat5_80_5,res_own_mat5_80_6,res_own_mat5_80_0,res_own_mat5_85_5,res_own_mat5_85_6,res_own_mat5_85_0,res_own_mat5_90_5,res_own_mat5_90_6,res_own_mat5_90_0,res_own_mat5_95_5,res_own_mat5_95_6,res_own_mat5_95_0,res_own_prec_0_5,res_own_prec_0_6,res_own_prec_0_0,res_own_prec_1_5,res_own_prec_1_6,res_own_prec_1_0,res_own_prec_2_5,res_own_prec_2_6,res_own_prec_2_0,res_own_prec_3_5,res_own_prec_3_6,res_own_prec_3_0,res_own_prec_4_5,res_own_prec_4_6,res_own_prec_4_0,res_own_prec_5_5,res_own_prec_5_6,res_own_prec_5_0,res_own_cloud_0_5,res_own_cloud_0_6,res_own_cloud_0_0,res_own_cloud_1_5,res_own_cloud_1_6,res_own_cloud_1_0,res_own_cloud_2_5,res_own_cloud_2_6,res_own_cloud_2_0,res_own_cloud_3_5,res_own_cloud_3_6,res_own_cloud_3_0,res_own_cloud_4_5,res_own_cloud_4_6,res_own_cloud_4_0,res_own_cloud_5_5,res_own_cloud_5_6,res_own_cloud_5_0,res_own_cloud_6_5,res_own_cloud_6_6,res_own_cloud_6_0,res_own_cloud_7_5,res_own_cloud_7_6,res_own_cloud_7_0,res_own_cloud_8_5,res_own_cloud_8_6,res_own_cloud_8_0,res_own_mat_la_5,res_own_mat_la_6,res_own_mat_la_0,res_own_mat_la_cens_5,res_own_mat_la_cens_6,res_own_mat_la_cens_0,res_own_mat10_10_5,res_own_mat10_10_6,res_own_mat10_10_0,res_own_mat10_20_5,res_own_mat10_20_6,res_own_mat10_20_0,res_own_mat10_30_5,res_own_mat10_30_6,res_own_mat10_30_0,res_own_mat10_40_5,res_own_mat10_40_6,res_own_mat10_40_0,res_own_mat10_50_5,res_own_mat10_50_6,res_own_mat10_50_0,res_own_mat10_60_5,res_own_mat10_60_6,res_own_mat10_60_0,res_own_mat10_70_5,res_own_mat10_70_6,res_own_mat10_70_0,res_own_mat10_80_5,res_own_mat10_80_6,res_own_mat10_80_0,res_own_mat10_90_5,res_own_mat10_90_6,res_own_mat10_90_0
-1.51238,-.3469277,,,,,,.6507057,.6507057,.2122479,.025174,-.0551107,-.0413852,-.0369325,.2026944,.0615973,-.025726,.0002697,-.0450237,-.0372067,-.0288105,.0136199,-.0374154,-.0018372,.031706,.012134,-.0109213,-.0077252,.0060731,-.0681492,.0326757,-.0023916,.0053711,.00904,.0234539,-.1091033,-.0211216,-.0097063,-.029599,.0316941,.0304347,.043871,.0511994,.0123311,-3.153459,-36.27152,-.0964959,.1657619,.0358712,-.0447539,-.0660172,-.0237955,.0298688,.0012127,-.0016521,.0611631,.2122479,-.0517791,-.0125687,.025174,-.1262675,-.0215181,-.0551107,-.0515427,-.0342762,-.0413852,-.0364635,.013142,-.0369325,-.0542456,.025402,.2026944,-.019187,.030949,.0615973,.0838828,.090726,-.025726,.0849736,.0361836,.0002697,.0086326,-.0606383,-.0450237,.0205024,-.0223634,-.0372067,-.0038643,-.0471783,-.0288105,-.0136145,.0190897,.0136199,.0111894,-.0280324,-.0374154,-.0265277,-.0002245,-.0018372,-.0237625,.0111713,.031706,.0204709,-.0004735,.012134,.0121294,-.0103067,-.0109213,-.0109213,-.0077252,-.0077252,-.0077252,.0060731,.0060731,.0060731,.0623222,-.0681492,.06804,-.0036616,.0326757,-.0275889,-.0193126,-.0023916,-.0240344,-.0187265,.0053711,-.0052186,-.0038027,.00904,-.0013888,-.0168188,.0234539,-.0098094,-.0629406,-.1091033,-.0048078,-.0072931,-.0211216,-.0003434,.0350192,-.0097063,.0792135,.056492,-.029599,.0000838,.0530629,.0316941,.0436386,.0005891,.0304347,.0665297,-.0063426,.043871,-.004012,-.0301379,.0511994,-.0436828,-.0384491,.0123311,-.1366198,40.98217,-3.153459,-232.6629,-36.88395,-36.27152,-6.276211,-.0557943,-.0964959,-.0880062,.038544,.1657619,-.0734326,.121675,.0358712,.1688564,-.0244548,-.0447539,.029135,-.0695417,-.0660172,-.0174787,-.0089427,-.0237955,-.0153384,.0109468,.0298688,-.0032916,-.0107802,.0012127,.0012082,-.0016521,-.0016521,-.0016521
.6275786,-.3065321,.0597604,,-.2162287,.2427878,-.4316492,-.7012622,-.7012622,-.1480893,-.1126532,-.0549547,-.0476399,-.0608863,-.0626194,-.0677024,-.0571066,-.0576026,.0346503,.1819433,.0685323,.087556,.024114,-.0126368,.0125903,.0234131,-.0121645,-.005649,.0061626,.0314644,.0029478,-.0179987,-.0069501,-.0040074,-.005456,.261074,.0618471,.010931,-.0429516,-.0449925,-.0564816,-.0649979,-.0490706,-.0753578,-780.5598,146.0211,-.1025946,-.1235057,-.1248089,-.0229523,.2504756,.1116701,-.0000465,.0112486,.0005136,-.1452588,-.1480893,-.1343511,.0275101,-.1126532,-.0694728,-.05978,-.0549547,-.0507515,-.049801,-.0476399,-.0481031,-.0613084,-.0608863,-.0547965,-.0579019,-.0626194,-.0509609,-.0682205,-.0677024,-.0429654,-.0461842,-.0571066,-.0524123,.0756139,-.0576026,-.0883433,.120203,.0346503,-.0349067,.0785859,.1819433,.0691515,.0411269,.0685323,.0956089,-.0199294,.087556,.1412047,-.002244,.024114,.0783722,.0180036,-.0126368,.0207784,.0144358,.0125903,.0298241,.0294809,.0234131,.0052131,-.0117039,-.0121645,-.0112039,-.0065852,-.005649,-.0110567,.0062085,.0061626,.0053475,.0347922,.0314644,.0139022,-.0224278,.0029478,-.0047235,-.0011376,-.0179987,.003081,-.0019715,-.0069501,-.0042119,-.0045573,-.0040074,-.0039359,-.0046981,-.005456,-.0041118,.1690947,.261074,.1533952,-.0009913,.0618471,.0229572,.0974434,.010931,-.0145103,.0380862,-.0429516,-.0354131,-.0243163,-.0449925,.0185489,-.0481061,-.0564816,-.06661,-.0309062,-.0649979,.0046622,-.1066822,-.0490706,-.0291577,-.0936222,-.0753578,-.0538723,-654.5565,-780.5598,-800.3797,58.33034,146.0211,80.48362,-.1095811,-.1025946,-.0988546,-.1192103,-.1235057,-.1057574,-.1144046,-.1248089,-.0953777,.1958169,-.0229523,-.12325,.1197128,.2504756,.1647605,-.0221734,.1116701,.2195769,.0324394,-.0000465,.0506025,.017777,.0112486,-.0059908,-.0003767,.0005136,-.0057092
-1.104952,-1.094101,-.9865645,-.4860956,,,-.59649,-2.100732,-2.100732,-.1732058,-.1369236,-.0158902,-.0187177,-.0423983,-.1039128,-.1044177,-.0651566,.0029422,.0661395,.1271609,.08053,.1024675,-.0118777,-.0100216,.0107858,-.0058687,-.0117078,-.0064771,.0064202,.0758759,-.0366442,-.0133984,-.0081398,-.002733,-.0149605,.2670214,.0563078,.0253192,.0139824,-.019079,-.0300386,-.0520306,-.1018993,-.1595833,-585.1241,116.5553,-.0346079,-.1463111,-.1695743,.0690817,.2076909,.0905898,.0007643,-.0175765,-.0000569,-.1732058,-.1635038,-.0472564,-.1369236,-.0926628,.3281506,-.0158902,-.014838,-.0150366,-.0187177,-.0184432,-.0182789,-.0423983,-.0298838,-.0396707,-.1039128,-.0750346,-.0803184,-.1044177,-.0801278,-.0488241,-.0651566,-.0226399,-.0331918,.0029422,-.0124573,-.0376322,.0661395,.0381347,.0721243,.1271609,.0331882,.1594741,.08053,.0246024,-.0383121,.1024675,.0711803,-.0032401,-.0118777,.0210309,.0137348,-.0100216,.0372539,.0213117,.0107858,.0404239,.0690351,-.0058687,-.001055,-.0045781,-.0117078,-.0121683,-.0112077,-.0064771,-.0055409,-.0109486,.0064202,.0063744,.0055592,.0758759,.0449941,-.1040718,-.0366442,-.0257531,.1006858,-.0133984,-.0026472,.0043692,-.0081398,.0017177,-.0007668,-.002733,-.0032257,.0078966,-.0149605,-.0150858,-.008113,.2670214,.1496184,-.0113368,.0563078,.1394779,-.0191278,.0253192,.0342959,-.0421201,.0139824,.0123526,-.0495809,-.019079,-.0277739,-.0318907,-.0300386,-.0494288,.0126385,-.0520306,-.0480081,.0571846,-.1018993,-.0735275,.0822466,-.1595833,-.1370066,.0019865,-585.1241,-485.2313,-455.4182,116.5553,33.73739,84.76035,-.0346079,-.0332812,-.0333155,-.1463111,-.1049184,-.1199891,-.1695743,-.1027677,-.0820159,.0690817,.0256774,.0344921,.2076909,.0577907,.121162,.0905898,.0922112,.0104947,.0007643,.0776778,.0903468,-.0175765,-.0132233,-.0157859,-.0000569,.0008335,-.0053893
.1205929,,.2119489,,,,-.1715029,-.73768,-.73768,-.029806,.122545,.0015687,.0016833,.0025428,.0052114,.0010371,-.0150802,-.03901,-.0625703,-.0838362,-.0753086,-.0547271,-.0234892,.1138305,.1171179,.1154609,-.0116642,-.0079174,.0151506,-.0050038,-.002388,-.004346,.0078585,.0067142,-.0028349,-.122114,-.0160374,.0033163,.0410096,.0186577,.0572279,.0442385,.0133287,-.0396273,-134.5869,-68.857,.003252,.0077542,-.014043,-.1015803,-.1591448,-.0782163,.2309484,.1037968,.0072331,-.0283575,-.0267873,-.029806,.1495475,.1104054,.122545,.0015492,.0021843,.0015687,.0016615,.0017275,.0016833,.0025258,.0027383,.0025428,.0039273,.0046571,.0052114,-.0026382,-.0017011,.0010371,-.0163944,-.0145366,-.0150802,-.0378435,-.038439,-.03901,-.064802,-.0646583,-.0625703,-.0706949,-.0983623,-.0838362,.0401974,-.0728611,-.0753086,.0447254,.0401271,-.0547271,.0384712,.0624141,-.0234892,.0843738,.1518745,.1138305,.0127885,.0259545,.1171179,-.0040532,-.000282,.1154609,-.034266,-.0366031,-.0116642,-.0036545,.0118772,-.0079174,.0041266,.0238889,.0151506,.0321166,-.0429687,-.0050038,-.0181585,.003992,-.002388,.0062434,.0153266,-.004346,.0019451,.0270236,.0078585,-.0068345,.0020556,.0067142,-.0153121,-.005429,-.0028349,-.1713205,-.1486067,-.122114,-.0506935,-.042586,-.0160374,-.0422552,-.0059641,.0033163,-.0009316,.0339273,.0410096,.0216696,-.0022463,.0186577,.0896133,-.036324,.0572279,.072221,.0355846,.0442385,.0337281,.1088056,.0133287,.0479689,.0574096,-.0396273,-103.5491,-126.9901,-134.5869,-26.73195,-59.59493,-68.857,.0032107,.0039118,.003252,.0064531,.0073954,.0077542,-.0190327,-.0162377,-.014043,-.1026455,-.1030973,-.1015803,-.0304975,-.1712234,-.1591448,.0831966,.1025411,-.0782163,.0971623,.177829,.2309484,-.0383192,-.036885,.1037968,.0004722,.0357662,.0072331
-.9542366,,-.8459284,,,,,-1.681,-1.681,-.0017838,.1516992,.0017588,.0016799,.0025105,.0034522,.0004898,-.0075823,-.00499,.0356032,.0677422,.0053196,-.0972212,-.0912139,-.0313918,.0095315,.0474012,.0166767,.0490802,-.0088467,-.1799121,.077908,.0226813,.0398061,.0041165,.0354001,-.0569118,-.0426026,-.035104,-.0381936,-.0006648,-.0404994,-.0345299,.0260466,.2224595,73.74338,44.09142,.0034387,.0059627,-.0070925,.0306133,.0730618,-.1884351,-.0218603,.0640779,.0402335,.0008108,-.0042911,-.0017838,-.1052929,-.0084883,.1516992,.0014413,.0020764,.0017588,.0016468,.0017129,.0016799,.0024042,.0026167,.0025105,.0030873,.0038171,.0034522,-.0001152,.000822,.0004898,-.0084759,-.0066181,-.0075823,-.0098538,-.0129513,-.00499,-.0261332,-.0205683,.0356032,-.0353444,.0452034,.0677422,.0328637,.0334415,.0053196,.0897333,-.0157824,-.0972212,.012405,.0344712,-.0912139,-.0037566,-.0081909,-.0313918,.0073117,-.0231002,.0095315,-.0635229,-.0420286,.0474012,-.0159335,-.000339,.0166767,.0165781,.0112591,.0490802,-.0043361,-.0058415,-.0088467,.0656492,-.0417547,-.1799121,-.0182414,.0099558,.077908,-.0176081,-.0049803,.0226813,-.0133515,-.001409,.0398061,-.003371,.0019745,.0041165,-.0130771,.0362138,.0354001,-.0307351,.0330546,-.0569118,.0280177,-.0124569,-.0426026,.0420843,-.0000232,-.035104,.0679697,-.0393732,-.0381936,.0280469,.0116374,-.0006648,.0163103,-.0406112,-.0404994,-.0452402,.009241,-.0345299,-.0511752,.0063876,.0260466,-.0552784,.032144,.2224595,-16.24734,24.26646,73.74338,-1.668268,31.05737,44.09142,.0030881,.0037893,.0034387,.0054915,.0064339,.0059627,-.0085911,-.0057961,-.0070925,-.035987,-.0335197,.0306133,-.0024807,.078645,.0730618,.1021383,.0186888,-.1884351,.0035551,-.0312911,-.0218603,-.0794564,-.0423676,.0640779,.0122421,.0054176,.0402335
-2.605222,,-2.219811,,,.1934531,,-4.401412,-4.401412,-.0032532,-.0401544,.0020831,.0019743,.0027351,.0032915,-.0006157,-.0084795,-.0089838,-.0152149,-.0257908,-.0122451,.0102648,.0468495,.1301721,.0276405,-.0410883,-.0446267,-.0567771,-.0111891,.0309595,-.0080437,-.0147105,.0040723,-.0030973,-.0091803,-.0312297,-.0083845,-.0159402,-.0037991,.0442964,.0008448,.0180155,.0307268,-.03453,-48.4152,-47.47754,.0040574,.0060266,-.0090953,-.0241987,-.0380359,.0571143,.1578126,-.085715,-.0679661,.012065,-.0008605,-.0032532,-.0419581,-.02585,-.0401544,.0019833,.002089,.0020831,.0018315,.0018408,.0019743,.0025559,.0025904,.0027351,.0032783,.0032931,.0032915,.0000825,-.0001418,-.0006157,-.0079704,-.007749,-.0084795,-.0090422,-.0053126,-.0089838,.0110381,-.0004717,-.0152149,-.0095476,-.0120292,-.0257908,.0120164,-.0026865,-.0122451,.010585,.0124671,.0102648,-.0267195,.0734224,.0468495,-.0275992,.0893519,.1301721,.030941,-.0086505,.0276405,.1177743,-.0379185,-.0410883,-.0408954,-.0427398,-.0446267,-.0634574,-.0614758,-.0567771,-.0068544,-.0058794,-.0111891,.0172802,-.0060902,.0309595,-.0023475,.0069435,-.0080437,-.001274,.0032426,-.0147105,-.0060962,.0052488,.0040723,-.0030893,-.0020204,-.0030973,-.0044732,-.0073243,-.0091803,.0292957,.0078359,-.0312297,-.0162452,-.023273,-.0083845,.0858345,.0037294,-.0159402,.009218,-.0325811,-.0037991,.0053214,-.003804,.0442964,-.0238009,.0334469,.0008448,-.0414999,.0229241,.0180155,-.0040119,.038309,.0307268,-.0441116,-.046587,-.03453,-10.96441,-18.61961,-48.4152,-14.83643,-29.33742,-47.47754,.0038148,.0039298,.0040574,.0058342,.0058835,.0060266,-.007888,-.0078908,-.0090953,.0019958,-.0057843,-.0241987,.0024688,-.0147157,-.0380359,-.0161345,.0858895,.0571143,.0033418,.0807014,.1578126,.0768789,-.0806583,-.085715,-.0703118,-.0673552,-.0679661
2.002478,1.468403,-.3021371,-.373251,,-.5289778,,2.87856,2.87856,.0002382,.150029,.0015572,.0016507,.0024467,.002801,-.0009961,-.0081638,-.0069728,-.0108556,-.012298,.029205,.0802038,.0542835,.0624292,.0176946,-.0421925,-.1283186,-.053977,.0115027,-.0974455,.0110068,.0321562,.0493374,-.0038926,.0088377,.0077176,-.0276108,-.041855,-.006914,.0041595,-.008799,-.0153328,-.0273787,.1160132,-19.61595,-17.29692,.0032079,.0052477,-.0091599,-.0178285,.016907,.1344874,.0801238,-.1705111,-.0424742,.0002382,.002017,-.0001677,.150029,.0586956,.0122123,.0015572,.0021923,.0015767,.0016507,.0017168,.0016726,.0024467,.0026592,.0024637,.002801,.0035308,.0040852,-.0009961,-.000059,.0026793,-.0081638,-.006306,-.0068496,-.0069728,-.0075683,-.0081393,-.0108556,-.0094609,-.009041,-.012298,.01635,-.0029147,.029205,.0337482,.0054274,.0802038,.0459783,-.0128413,.0542835,-.0039625,.0062615,.0624292,.0546545,.0603993,.0176946,.041302,.0951773,-.0421925,-.0223552,.0452657,-.1283186,-.093728,-.0898465,-.053977,-.0492853,-.0763913,.0115027,-.0094069,-.0189848,-.0974455,-.0292376,.0371284,.0110068,.0333766,-.0111886,.0321562,.0038978,-.0022266,.0493374,.0093355,-.0110938,-.0038926,-.0079327,-.005149,.0088377,-.0094396,-.0074705,.0077176,.0828159,.0826193,-.0276108,.0067914,-.0127509,-.041855,.0113591,-.0116918,-.006914,-.0452644,.0127303,.0041595,-.0546134,-.0282711,-.008799,-.0423882,.0270198,-.0153328,-.0373878,-.0306067,-.0273787,-.0100494,-.0121177,.1160132,.0887369,-.0269311,-19.61595,-5.249916,-35.11485,-17.29692,-12.35291,-43.70771,.0032079,.0039091,.0032493,.0052477,.0061901,.0065489,-.0091599,-.006365,-.0041703,-.0178285,-.0170292,-.0171803,.016907,.0500982,.0025127,.1344874,.0420158,-.0065798,.0801238,.0959565,.1555765,-.1705111,-.1160832,-.0445809,-.0424742,-.0586922,-.0953761
.3968779,,.6094275,.4371069,,.6871158,,1.439616,1.439616,.0030878,.0094642,.0016665,.0018064,.0028098,.0047102,.0037277,-.0069951,-.0029079,-.0002315,-.0634481,-.0524823,-.0224253,.1163881,.0147768,-.0311411,-.0597871,.0265916,.0551688,.0117726,.0224759,-.0107883,-.0037195,.0007109,-.0019193,-.0067597,-.0331982,.01989,.0671617,.0399583,.0301839,-.0164753,-.0499849,-.0360188,-.0215166,8.144958,-21.5204,.0034729,.0075201,-.0032674,-.0031394,-.1159304,.0939628,-.0163643,-.0331955,.0669413,-.0002594,.0008938,.0030878,.2651989,.0283922,.0094642,.001647,.0022821,.0016665,.0017846,.0018506,.0018064,.0027928,.0030054,.0028098,.0034261,.0041559,.0047102,-.0003647,.0005725,.0037277,-.0074754,-.0064516,-.0069951,-.0094562,-.0088006,-.0029079,-.0162246,-.0190001,-.0002315,-.0323752,-.0375238,-.0634481,-.0241323,-.0391925,-.0524823,-.0405709,-.0416246,-.0224253,-.0708174,.0106734,.1163881,.0672634,.001111,.0147768,.012778,-.0328549,-.0311411,.0911325,.0423599,-.0597871,.0198363,.1107019,.0265916,.0014668,.0101177,.0551688,-.0007109,-.0013823,.0117726,-.1293112,.0562374,.0224759,.0487124,-.0275525,-.0107883,.0356438,-.0146975,-.0037195,.0173163,-.0047278,.0007109,.0143484,-.0019908,-.0019193,.0132902,-.0072688,-.0067597,-.089077,-.0646951,-.0331982,-.0871181,.0073114,.01989,-.0722381,-.0321938,.0671617,-.0192891,.0818751,.0399583,.0121365,.0582791,.0301839,-.0122383,.0590721,-.0164753,.0478475,-.0394561,-.0499849,.0948894,-.0502166,-.0360188,.125087,-.019976,-.0215166,-30.17108,-8.965666,8.144958,-29.9604,-14.88093,-21.5204,.0034315,.0041327,.0034729,.0062189,.0071613,.0075201,-.00784,-.0058791,-.0032674,-.0256808,-.0278007,-.0031394,-.0565074,-.0767163,-.1159304,-.1113883,-.0309512,.0939628,.0800415,-.0317439,-.0163643,.1109688,.1530618,-.0331955,.0007559,.0087354,.0669413
.5319477,-.6911517,.7281423,,,,.1148707,-.6549127,-.6549127,.0060522,-.1526936,.0007989,-.0006978,-.0058026,-.0207059,-.0213898,-.0018275,-.0179625,.0434658,.028905,.0216769,.0066264,.0150535,-.0248827,-.0004471,-.0112135,-.0113205,-.0057615,.0054848,.1026882,-.0384444,-.0310757,-.0152345,-.0066386,-.0112951,.0049094,.010948,.0425305,.0505816,.0283727,.0115615,-.0190397,-.0467092,-.0831548,-67.04581,19.74456,.0001011,-.0265084,-.0232172,.0255033,.0505819,.0216799,-.0253298,-.022534,-.0002767,.0060522,.1293617,.0954276,-.1526936,.0558424,-.2183353,.0007989,.0018545,.0008184,-.0006978,.0021016,.0022676,-.0058026,.0272106,.0129276,-.0207059,-.0008423,.0844471,-.0213898,-.032858,.0510408,-.0018275,-.0062775,.1273253,-.0179625,.0077246,-.0508784,.0434658,.0795535,-.0733066,.028905,-.0286354,-.0287135,.0216769,-.026298,-.0344523,.0066264,.0245172,-.0379189,.0150535,-.0001295,.0055369,-.0248827,-.0251416,-.0395543,-.0004471,-.0031329,.0072297,-.0112135,-.0091104,-.0103399,-.0113205,-.011781,-.0108204,-.0057615,-.0048253,-.010233,.0054848,.0060697,.0046238,.1026882,.1000145,.0973329,-.0384444,-.0401198,-.0404619,-.0310757,-.0286595,-.0274848,-.0152345,-.0135088,-.0128657,-.0066386,-.0071401,-.0070686,-.0112951,-.0105864,-.0094518,.0049094,-.0598346,.0549766,.010948,-.0044095,.0024063,.0425305,-.0102252,.0374226,.0505816,.0174074,.0489448,.0283727,.0311739,.0062166,.0115615,.0395342,-.0046954,-.0190397,.0573423,-.0159389,-.0467092,.0121454,-.0374744,-.0831548,-.0831337,-.0918583,-67.04581,70.30185,364.3548,19.74456,-18.551,-46.61679,.0001011,.0039561,.0030861,-.0265084,.0263683,.0973747,-.0232172,-.0391355,.1783662,.0255033,.0872781,-.124185,.0505819,-.0549333,-.0631658,.0216799,.0243877,-.032382,-.0253298,-.0282745,-.0323246,-.022534,-.0208913,-.0211603,-.0002767,.0012444,-.0056092
-.9681386,,.0156607,-.1073707,,.1587411,,1.055368,1.055368,-.1037215,-.0932006,-.0023368,-.0113078,-.0326201,-.055212,.0077952,.0186434,.0828453,-.0421773,-.0427596,.0221966,.0388309,.0256036,.0020304,.0091873,-.0028931,-.0091947,-.0113563,.0027247,.0676384,-.0251852,-.0154364,-.0083739,-.0062556,-.0123874,.026429,.0218536,.0081943,.0538915,.0493906,.0610701,-.0165475,-.0562449,-.1480368,-170.2883,-28.93501,-.0136445,-.087832,.0264386,.040668,-.020563,.0644345,.0112177,-.0120877,-.0086316,-.0705595,-.0408233,-.1037215,-.1698634,-.0863585,-.0932006,-.0023563,-.0017212,-.0023368,-.0090346,-.0102203,-.0113078,-.0002982,-.0330504,-.0326201,.0540818,-.0399098,-.055212,.0452214,.0874688,.0077952,.0989065,.0840733,.0186434,-.0618259,-.030917,.0828453,-.03356,-.0365467,-.0421773,-.0437973,-.0454018,-.0427596,-.0314304,-.0135344,.0221966,-.0446314,.027131,.0388309,.0427473,.0360347,.0256036,-.0053283,-.0151894,.0020304,.0097351,.0076801,.0091873,-.0054357,-.0033326,-.0028931,-.0096947,-.0101552,-.0091947,-.0068848,-.0059486,-.0113563,.0035857,.0035398,.0027247,.0515707,.0208843,.0676384,-.0090403,-.0075342,-.0251852,-.0177738,-.0065997,-.0154364,-.0094908,.0076741,-.0083739,-.0058337,-.0063271,-.0062556,-.009432,-.0080974,-.0123874,.0833863,.0760727,.026429,.0215984,-.0209868,.0218536,-.0048606,-.0086045,.0081943,.0092107,.0163432,.0538915,.0478133,.037027,.0493906,-.0279513,.0235836,.0610701,.0054028,-.0295877,-.0165475,-.0395843,-.0024344,-.0562449,-.0950153,-.0914133,-.1480368,170.2782,-28.91886,-170.2883,-46.75706,-26.74586,-28.93501,-.0113909,-.0119415,-.0136445,.0537836,-.0729603,-.087832,.1441279,.171542,.0264386,-.0953859,-.0674638,.040668,-.0752277,-.0589362,-.020563,-.0018841,.0631657,.0644345,.0044068,-.0075094,.0112177,-.0151305,-.0134878,-.0120877,-.0032992,-.0024088,-.0086316
