tickets,own_snow,own_rain,own_mat5_10,own_mat5_15,own_mat5_20,own_mat5_25,own_mat5_30,own_mat5_35,own_mat5_40,own_mat5_45,own_mat5_50,own_mat5_55,own_mat5_60,own_mat5_65,own_mat5_70,own_mat5_75,own_mat5_80,own_mat5_85,own_mat5_90,own_mat5_95,own_prec_0,own_prec_1,own_prec_2,own_prec_3,own_prec_4,own_prec_5,own_cloud_0,own_cloud_1,own_cloud_2,own_cloud_3,own_cloud_4,own_cloud_5,own_cloud_6,own_cloud_7,own_cloud_8,own_mat_la,own_mat_la_cens,own_mat10_10,own_mat10_20,own_mat10_30,own_mat10_40,own_mat10_50,own_mat10_60,own_mat10_70,own_mat10_80,own_mat10_90,own_snow_5,own_snow_6,own_snow_0,own_rain_5,own_rain_6,own_rain_0,own_mat5_10_5,own_mat5_10_6,own_mat5_10_0,own_mat5_15_5,own_mat5_15_6,own_mat5_15_0,own_mat5_20_5,own_mat5_20_6,own_mat5_20_0,own_mat5_25_5,own_mat5_25_6,own_mat5_25_0,own_mat5_30_5,own_mat5_30_6,own_mat5_30_0,own_mat5_35_5,own_mat5_35_6,own_mat5_35_0,own_mat5_40_5,own_mat5_40_6,own_mat5_40_0,own_mat5_45_5,own_mat5_45_6,own_mat5_45_0,own_mat5_50_5,own_mat5_50_6,own_mat5_50_0,own_mat5_55_5,own_mat5_55_6,own_mat5_55_0,own_mat5_60_5,own_mat5_60_6,own_mat5_60_0,own_mat5_65_5,own_mat5_65_6,own_mat5_65_0,own_mat5_70_5,own_mat5_70_6,own_mat5_70_0,own_mat5_75_5,own_mat5_75_6,own_mat5_75_0,own_mat5_80_5,own_mat5_80_6,own_mat5_80_0,own_mat5_85_5,own_mat5_85_6,own_mat5_85_0,own_mat5_90_5,own_mat5_90_6,own_mat5_90_0,own_mat5_95_5,own_mat5_95_6,own_mat5_95_0,own_prec_0_5,own_prec_0_6,own_prec_0_0,own_prec_1_5,own_prec_1_6,own_prec_1_0,own_prec_2_5,own_prec_2_6,own_prec_2_0,own_prec_3_5,own_prec_3_6,own_prec_3_0,own_prec_4_5,own_prec_4_6,own_prec_4_0,own_prec_5_5,own_prec_5_6,own_prec_5_0,own_cloud_0_5,own_cloud_0_6,own_cloud_0_0,own_cloud_1_5,own_cloud_1_6,own_cloud_1_0,own_cloud_2_5,own_cloud_2_6,own_cloud_2_0,own_cloud_3_5,own_cloud_3_6,own_cloud_3_0,own_cloud_4_5,own_cloud_4_6,own_cloud_4_0,own_cloud_5_5,own_cloud_5_6,own_cloud_5_0,own_cloud_6_5,own_cloud_6_6,own_cloud_6_0,own_cloud_7_5,own_cloud_7_6,own_cloud_7_0,own_cloud_8_5,own_cloud_8_6,own_cloud_8_0,own_mat_la_5,own_mat_la_6,own_mat_la_0,own_mat_la_cens_5,own_mat_la_cens_6,own_mat_la_cens_0,own_mat10_10_5,own_mat10_10_6,own_mat10_10_0,own_mat10_20_5,own_mat10_20_6,own_mat10_20_0,own_mat10_30_5,own_mat10_30_6,own_mat10_30_0,own_mat10_40_5,own_mat10_40_6,own_mat10_40_0,own_mat10_50_5,own_mat10_50_6,own_mat10_50_0,own_mat10_60_5,own_mat10_60_6,own_mat10_60_0,own_mat10_70_5,own_mat10_70_6,own_mat10_70_0,own_mat10_80_5,own_mat10_80_6,own_mat10_80_0,own_mat10_90_5,own_mat10_90_6,own_mat10_90_0,ww1,ww2,ww3,ww4,ww5,ww6,ww7,ww8,ww9,ww10,ww11,ww12,ww13,ww14,ww15,ww16,ww17,ww18,ww19,ww20,ww21,ww22,ww23,ww24,ww25,ww26,ww27,ww28,ww29,ww30,ww31,ww32,ww33,ww34,ww35,ww36,ww37,ww38,ww39,ww40,ww41,ww42,ww43,ww44,ww45,ww46,ww47,ww48,ww49,ww50,ww51,ww52,yy1,yy2,yy3,yy4,yy5,yy6,yy7,yy8,yy9,yy10,yy11,hhmlk,hhpres,hhmem,hhlabor,hhcolum,hhthankwed,hhthankthur,hhthankwkend,hhchristmas2023,hhchristmas24,hhchristmas25,hhchristmas2630,hhnewyear31,hhnewyear1,hhnewyear23,hhvet,hhjuly4,hhdayoff,hhvalen,hhstpat,hhwkdchrispre,hhwkdchris,hhwkdchrispost,hhwkdnewyr,hhwkdnewyrpost,hhwkdvet,hhwkdjul4,hhwkdother,hheaster,hheastersat,hheasterfri,hhhallow,hhcinco,hhmother,hhsuperbowl,hmmlk,hp2mmlk,hp3mmlk,hpmlk,hmpres,hp2mpres,hp3mpres,hppres,hmmem,hp2mmem,hp3mmem,hpmem,hmlabor,hp2mlabor,hp3mlabor,hplabor,hmcolum,hp2mcolum,hp3mcolum,hpcolum,hmjuly4fed,hp2mjuly4fed,hp3mjuly4fed,hpjuly4fed,dow_1,dow_2,dow_3,opening_wkend_group
1.244968,.4226439,.2333194,.001251,.0039616,.0366972,.2864887,.1761885,.073186,.0829858,.0610926,.0698499,.0450375,.0690158,.0210592,.0275229,.0289825,.0166806,0,0,0,.8398666,.0656797,.0179316,.0179316,.0173061,.0412844,.0758966,.0629691,.0558799,.0642202,.1257298,.1265638,.1486656,.1724354,.1676397,1332.766,62.76355,.0052127,.323186,.2493745,.1440784,.1148874,.0900751,.0565054,.0166806,0,.2518766,.4226439,.1749374,.1889074,.2333194,.0754796,.0515013,.001251,.0027106,.0227273,.0039616,.0041701,.0777731,.0366972,.0081318,.1100917,.2864887,.0915346,.0969558,.1761885,.2108007,.175563,.073186,.192452,.1205171,.0829858,.0979983,.0613011,.0610926,.0936197,.0863219,.0698499,.0894495,.0314846,.0450375,.0602585,.0925772,.0690158,.0838199,.0204337,.0210592,.0239783,.0331526,.0275229,.0070892,.0125104,.0289825,.0181401,.0064637,.0166806,.0158465,.0006255,0,0,0,0,0,0,0,0,.9693494,.8398666,.9735196,.0306505,.0656797,.0206422,0,.0179316,.0016681,0,.0179316,.0025021,0,.0173061,.0016681,0,.0412844,0,.1234362,.0758966,.176397,.0786072,.0629691,.0850709,.1144704,.0558799,.1526272,.1524187,.0642202,.0917431,.1509591,.1257298,.1244787,.1046706,.1265638,.1609675,.088407,.1486656,.0861134,.073186,.1724354,.0898666,.1138449,.1676397,.0327356,1368.032,1332.766,1118.126,72.74958,62.76355,82.37531,.0742285,.0052127,.0068807,.1878649,.323186,.0996664,.2725188,.2493745,.4032527,.1818182,.1440784,.191618,.1178065,.1148874,.1497081,.1130108,.0900751,.1077982,.0456631,.0565054,.0252294,.0070892,.0166806,.0158465,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2.239005,.0551016,.0842238,.0041902,.0029332,.0020951,.0071234,.0092185,.0322648,.053216,.1399539,.2895454,.1577624,.1732663,.0727006,.026189,.0052378,.0243034,0,0,0,.9576786,.0387597,.000838,0,0,.0027237,.4376702,.1516866,.0928137,.0502828,.0488163,.045045,.0402263,.0752148,.0582443,478.7637,250.6734,.0071234,.0092185,.0414833,.1931699,.4473078,.2459669,.0314268,.0243034,0,.0597109,.0551016,.0710245,.2363293,.0842238,.1221454,0,.0041902,.009009,.000838,.0029332,.0025141,.0018856,.0020951,.0083805,.0125707,.0071234,.0182275,.0096375,.0092185,.0312173,.045045,.0322648,.0375026,.185837,.053216,.0230463,.2269013,.1399539,.069977,.185418,.2895454,.1757804,.1288498,.1577624,.1837419,.062225,.1732663,.2262728,.0473497,.0727006,.1254976,.0559397,.026189,.0574062,.0050283,.0052378,.0240939,.0324743,.0243034,.0073329,0,0,0,0,0,0,0,0,0,.9511837,.9576786,.9442698,.018437,.0387597,.0303792,.0194846,.000838,.0203226,.0067044,0,.0020951,0,0,0,.0041902,.0027237,.0029332,.3421328,.4376702,.3295621,.0869474,.1516866,.115022,.1782946,.0928137,.069977,.1303164,.0502828,.0584538,.0689294,.0488163,.1135554,.0525875,.045045,.0341504,.0747957,.0402263,.1091557,.0215797,.0752148,.0930233,.0444165,.0582443,.0771004,613.3602,478.7637,458.5527,162.1538,250.6734,186.2346,.000838,.0071234,.0115232,.0144563,.0092185,.026608,.0546826,.0414833,.0687199,.4127383,.1931699,.0930233,.3142678,.4473078,.3595223,.1095747,.2459669,.3517704,.0609679,.0314268,.0815001,.0324743,.0243034,.0073329,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
1.247387,.0556714,.0725605,0,.000417,.0002085,.0039616,.0173061,.0540033,.1140534,.1728524,.2235196,.1590909,.1793161,.0433695,.0273144,.0045872,0,0,0,0,.9974979,.0006255,0,0,.0010425,.000834,.4585071,.1346956,.0996664,.0984153,.0671393,.0573394,.0483736,.030025,.0058382,543.3255,213.9706,.000417,.0041701,.0713094,.2869058,.3826105,.2226856,.0319016,0,0,.0556714,.0635947,.1820267,.0725605,.1048791,.5204337,0,.000417,.000834,.000417,.0006255,.000834,.0002085,.0125104,.0029191,.0039616,.0321101,.0262719,.0173061,.0406589,.0692244,.0540033,.0946622,.0846539,.1140534,.0992494,.0746455,.1728524,.1434529,.1770225,.2235196,.1303169,.2556297,.1590909,.1046706,.0406589,.1793161,.1515847,.0765221,.0433695,.0752711,.0665138,.0273144,.0754796,.0573394,.0045872,.0362802,.0665138,0,.0027106,.000417,0,0,0,0,0,0,0,0,0,.9974979,.9764387,.8315263,.0006255,.0064637,.1321935,0,.0089658,.014387,0,.0081318,.0050042,.0010425,0,.0110509,.000834,0,.0058382,.4585071,.3446622,.1832777,.1346956,.2197665,.0633862,.0996664,.1096747,.0358632,.0984153,.0977898,.0364887,.0671393,.0590075,.0560884,.0573394,.0387823,.1000834,.0483736,.0519183,.1563803,.030025,.0544204,.2080901,.0058382,.0239783,.1603419,543.3255,634.6251,664.0471,213.9706,131.9814,184.1032,.000417,.0010425,.0016681,.0041701,.0446205,.029191,.0713094,.1353211,.1538782,.2869058,.2427022,.2516681,.3826105,.2349875,.2962886,.2226856,.2268557,.1430359,.0319016,.1117598,.1238532,0,.0027106,.000417,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
1.066207,0,.4618432,0,0,0,0,0,0,0,.0022936,.0335696,.0358632,.0900751,.1073812,.2602168,.1970392,.1993328,.0454545,.015638,.0131359,.8757298,.0506672,.0241868,.0225188,.01397,.0129274,.088407,.08799,.0890325,.132819,.1098832,.160342,.1561718,.1273978,.0479566,78.23728,78.06193,0,0,0,.0022936,.0694329,.1974562,.457256,.2447873,.028774,.0010425,.000834,0,.5060467,.4549625,.4618432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0018766,.0006255,.0022936,.0469141,.0200167,.0335696,.1509591,.0394078,.0358632,.1866138,.1855713,.0900751,.1718098,.1947456,.1073812,.2320684,.3004587,.2602168,.0890325,.1042535,.1970392,.0806922,.0823603,.1993328,.0233528,.0214762,.0454545,.0154295,.030025,.015638,.001251,.0210592,.0131359,.898874,.8336114,.8757298,.0406589,.0577565,.0506672,.0381568,.0454545,.0241868,.0189741,.0423269,.0225188,.0010425,.0093828,.01397,.0022936,.0114679,.0129274,.0360717,.0623436,.088407,.0492077,.059216,.08799,.0398249,.0771476,.0890325,.089241,.1251042,.132819,.1111343,.0877815,.1098832,.1926606,.0675563,.1603419,.1853628,.1482485,.1561718,.1538782,.2249791,.1273978,.1426188,.147623,.0479566,118.2594,86.22519,78.23728,118.2594,86.22519,78.06193,0,0,0,0,0,0,0,0,0,.0018766,.0006255,.0022936,.1978732,.0594245,.0694329,.3584237,.3803169,.1974562,.3211009,.4047123,.457256,.104045,.1038365,.2447873,.0166806,.0510842,.028774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11
.6752721,0,.4824854,0,0,0,0,0,0,.0054212,.0598415,.1440784,.0982068,.0352377,.0754796,.0971643,.0898666,.176397,.1182235,.0977898,.0022936,.7124687,.1215596,.0458716,.0554629,.0110509,.0535863,.1130108,.0694329,.0638032,.072769,.1082152,.0623436,.058382,.1294829,.3225605,220.2256,183.5972,0,0,0,.0652627,.2422852,.1107173,.1870309,.2946205,.1000834,.0089658,.0020851,0,.2135113,.2983736,.4824854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0039616,.0014595,.0054212,.0056297,.0097998,.0598415,.0212677,.1025855,.1440784,.0992494,.1013344,.0982068,.2089241,.1069641,.0352377,.1795246,.2005838,.0754796,.1580484,.1545037,.0971643,.1050876,.0767306,.0898666,.0531693,.0725605,.176397,.0961218,.1121768,.1182235,.0633862,.0571309,.0977898,.0056297,.0041701,.0022936,.9676814,.8701001,.7124687,.0214762,.0446205,.1215596,.0035446,.014387,.0458716,0,.0102168,.0554629,.0050042,.0097998,.0110509,.0022936,.0508757,.0535863,.1555463,.2228941,.1130108,.1505421,.1119683,.0694329,.1517932,.1107173,.0638032,.1801501,.0738115,.072769,.1451209,.1292744,.1082152,.1211426,.0650542,.0623436,.0425354,.0965388,.058382,.0373228,.0909091,.1294829,.0158465,.0988324,.3225605,125.5181,157.4387,220.2256,121.2846,154.839,183.5972,0,0,0,0,0,0,0,0,0,.0095913,.0112594,.0652627,.1205171,.2039199,.2422852,.3884487,.307548,.1107173,.2631359,.2312344,.1870309,.1492911,.1847373,.2946205,.0690158,.0613011,.1000834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15
1.221705,0,.2894078,0,0,0,0,0,0,0,0,.000417,.0185571,.0865304,.161176,.3042118,.1092577,.1178065,.1497081,.0429525,.0093828,.9384904,.0254379,.0072977,.0150125,.0020851,.0116764,.1161384,.1061301,.0900751,.1173895,.1542952,.1186405,.1355296,.1346956,.0271059,76.07298,76.07298,0,0,0,0,.0189741,.2477064,.4134696,.2675146,.0523353,.0145955,0,0,.2979566,.2919099,.2894078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0041701,0,.0260634,.0181401,0,.0298165,.0177231,.000417,.0577565,.0417014,.0185571,.1013344,.1098832,.0865304,.1086322,.1957882,.161176,.1201001,.2301918,.3042119,.1303169,.0907006,.1092577,.2716847,.118015,.1178065,.1261468,.1359466,.1497081,.0202252,.028357,.0429525,.0079233,.0093828,.0093828,.9318182,.9157631,.9384904,.0375313,.0458716,.0254379,.015638,.0243953,.0072977,.0031276,.0104254,.0150125,.0047957,.001251,.0020851,.0070892,.0022936,.0116764,.1653461,.147623,.1161385,.1000834,.0919516,.1061301,.1861968,.1005004,.0900751,.1230192,.0838199,.1173895,.1261468,.1257298,.1542953,.0942452,.1570058,.1186405,.074437,.1376147,.1355296,.1075897,.131985,.1346956,.0229358,.0237698,.0271059,114.0607,107.1374,76.07298,109.8403,93.86051,76.07298,0,0,0,0,0,0,0,0,0,.0260634,.0223103,0,.087573,.0594245,.0189741,.2099666,.3056714,.2477064,.250417,.3208924,.4134696,.3978315,.2539616,.2675146,.0281485,.0377398,.0523353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17
4.797025,0,.5209681,0,0,0,0,0,0,0,0,.0012518,.0415189,.124348,.141039,.1931984,.1301899,.1370749,.0874192,.0805341,.0634258,.7621531,.0711454,.0648863,.0663468,.0079282,.0275402,.1700396,.1003547,.0751095,.1084915,.1187148,.0974338,.0861673,.0661381,.1775506,122.4277,122.4277,0,0,0,0,.0427707,.265387,.3233883,.2244941,.1439599,0,0,0,.5209681,.4176925,.3659503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0012518,.0306697,.0104319,.0415189,.0475694,.0181515,.124348,.0936783,.0342166,.141039,.0817859,.0905487,.1931984,.1863134,.1898602,.1301899,.1558523,.2113499,.1370749,.1548091,.2236595,.0874192,.1224703,.1253912,.0805341,.0842896,.0625913,.0634258,.0425621,.0337993,.7621531,.8401836,.9107031,.0711454,.0884623,.043188,.0648863,.0348425,.0271229,.0663468,.0246192,.0035468,.0079282,.0033382,.0060505,.0275402,.0085541,.0093887,.1700396,.248696,.2480701,.1003547,.1366576,.1193407,.0751095,.1293553,.1089088,.1084915,.0711454,.1297726,.1187148,.0605049,.0880451,.0974338,.0646777,.1333194,.0861673,.0636345,.069685,.0661381,.0794909,.0753182,.1775506,.1458377,.0275402,122.4277,128.2005,97.9445,122.4277,128.2005,97.9445,0,0,0,0,0,0,0,0,0,0,0,0,.0427707,.0782391,.0285833,.265387,.1754642,.1247653,.3233883,.3421656,.4012101,.2244941,.2772794,.3490507,.1439599,.1268517,.0963906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20
1.467606,.0045872,.2708507,0,0,0,0,.000417,0,.0085488,.0264804,.015638,.0423269,.1088407,.251251,.1626355,.0648457,.0571309,.1492911,.0986239,.01397,.957256,.0241868,.0108424,.0062552,.000417,.0010425,.2297748,.1597164,.1866138,.1438699,.1192661,.0696414,.0306505,.0344037,.0260634,144.8538,116.2683,0,0,.000417,.0350292,.057965,.3600917,.2274812,.206422,.1125938,.000834,.0002085,.0045872,.5437865,.2950375,.2708507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000417,.000834,0,0,.000834,.0020851,.0085488,.0123019,.0081318,.0264804,.0469141,.0425354,.015638,.0702669,.0567139,.0423269,.0877815,.0902836,.1088407,.0665138,.1469975,.251251,.2164304,.1511676,.1626355,.1050876,.0615096,.0648457,.2089241,.1580484,.0571309,.1430359,.234362,.1492911,.0404504,.0481651,.0986238,.0006255,0,.01397,.7914929,.986864,.957256,.0894495,.0081318,.0241868,.0535863,.0014595,.0108424,.0252294,.0014595,.0062552,.0173061,.000417,.000417,.0229358,.0016681,.0010425,.1707673,.1987073,.2297748,.0485822,.1449124,.1597164,.043578,.0846539,.1866138,.0829858,.1851543,.1438699,.0994579,.1461635,.1192661,.0738115,.145955,.0696414,.1296914,.0419099,.0306505,.1713928,.0223103,.0344037,.1797331,.0302335,.0260634,115.5221,128.1343,144.8538,105.9007,121.809,116.2683,0,0,0,0,0,0,.000834,0,.000417,.0131359,.0102168,.0350292,.117181,.0992494,.057965,.1542953,.2372811,.3600917,.3215179,.2126772,.2274812,.35196,.3924103,.206422,.0410759,.0481651,.1125938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,36
2.173386,.1213204,.1295206,0,0,.0014718,.0065181,.0378469,.0994533,.1219512,.1972246,.1579058,.1312027,.1280488,.0946173,.0231287,.0006308,0,0,0,0,.9907485,.0082002,0,0,.0010513,0,.2228764,.0944071,.1166947,.1364592,.117746,.1051304,.0880992,.0641295,.0544575,624.9891,157.995,0,.0079899,.1373003,.3191758,.2891085,.2226661,.0237595,0,0,.1213204,.2428511,.2111018,.1295206,.3261144,.0466779,0,.0004205,0,0,.0027334,.0029437,.0014718,.0342725,.020185,.0065181,.0256518,.1103869,.0378469,.0254415,.1066022,.0994533,.0931455,.2272918,.1219512,.1482338,.0902018,.1972246,.2319176,.0786375,.1579058,.1011354,.1000841,.1312027,.0847351,.0754836,.1280488,.1494954,.0864172,.0946173,.0784272,.0826325,.0231287,.0237595,.0071489,.0006308,0,.0119849,0,0,0,0,0,0,0,0,0,0,.0006308,0,.9907485,.9978974,.9993692,.0082002,.0014718,.0004205,0,.0006308,.0002103,0,0,0,.0010513,0,0,0,0,0,.2228764,.1616905,.2760723,.0944071,.0809504,.0899916,.1166947,.0649706,.1152229,.1364592,.1042893,.1364592,.117746,.1211102,.0973507,.1051304,.1339361,.0889403,.0880992,.1640034,.0899916,.0641295,.1190076,.0672834,.0544575,.0500421,.038688,624.9891,753.7435,1047.405,157.9949,120.5282,93.56119,0,.0031539,.0029437,.0079899,.0599243,.1305719,.1373003,.118587,.333894,.3191758,.3801514,.1688394,.2891085,.1858705,.1755677,.2226661,.2279226,.1690496,.0237595,.0237595,.0191337,0,0,0,0,.0006308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44
1.50528,.0623826,.1535573,0,0,.0016691,.0129355,.090966,.1216357,.213019,.0865846,.1114125,.1262257,.1274776,.0749009,.0283747,.0031296,.0016691,0,0,0,.9793449,.0171083,.0035468,0,0,0,.2000835,.0865846,.0924265,.1354058,.141039,.1627373,.0813687,.0753182,.0250365,754.5531,111.2005,0,.0146046,.2126017,.2996036,.2376382,.2023785,.0315043,.0016691,0,.0951387,.1230962,.0623826,.0940956,.1656583,.1535573,0,0,0,.002295,.0010432,0,.0340079,.0010432,.0016691,.1235135,.028792,.0129355,.1320676,.1733778,.090966,.203213,.186522,.1216357,.0671813,.0986856,.213019,.0970165,.0926351,.0865846,.1105779,.1097434,.1114125,.0721886,.0915919,.1262257,.0411016,.1164198,.1274776,.0945128,.0867932,.0749009,.0223242,.0133528,.0283747,0,0,.0031296,0,0,.0016691,0,0,0,0,0,0,0,0,0,.9493011,.9284373,.9793449,.0390152,.0354684,.0171083,.00459,.0139787,.0035468,.0012518,.016691,0,.0010432,0,0,.0047987,.0054246,0,.2539119,.2501565,.2000834,.0822032,.0415189,.0865846,.0757354,.0730232,.0924265,.0890883,.0972251,.1354058,.1377008,.1274776,.141039,.0736491,.1260171,.1627373,.1045274,.069059,.0813687,.0980597,.1312331,.0753182,.0851241,.0842896,.0250365,1104.104,896.3136,754.5531,91.45087,112.2908,111.2005,.002295,.0010432,0,.1575214,.0298352,.0146046,.3352806,.3598998,.2126017,.1641978,.1913207,.2996036,.1827665,.2013353,.2376382,.1356144,.203213,.2023785,.0223242,.0133528,.0315043,0,0,.0016691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,48
